Product Name,Price,Miles,Dealername,Rating,Location,Reviews
2019 Nissan Altima 2.5 Platinum,21495,49850,Currie Motors Chevrolet,4.6,"Forest Park, IL (10 mi.)",1563
2014 Acura RLX,19998,68046,CarMax Chattanooga,0.0,Location not found,5
2023 Cadillac CT5-V V-Series,51000,20711,Zeigler Cadillac of Lincolnwood,4.4,"Lincolnwood, IL (11 mi.)",660
2006 Lexus SC 430 Base,22788,63675,iCars Chicago,5.0,"Skokie, IL (13 mi.)",538
2020 Ford Transit Connect Titanium,30998,12339,CarMax Oak Lawn,0.0,"Oak Lawn, IL (14 mi.)",11
2019 Hyundai IONIQ EV,16998,45988,CarMax Edison,0.0,Location not found,1
2021 RAM 3500 Tradesman Crew Cab 4x4 8' Box,39995,132248,Pro Cars USA Inc,4.3,"Alsip, IL (16 mi.)",22
2005 Dodge Neon SRT-4,13495,90119,OKAZ MOTORS,0.0,"Elmhurst, IL (17 mi.)",157
2012 RAM 2500 ST,14995,130255,Nexton Motors LLC,5.0,"Elmhurst, IL (17 mi.)",52
2023 RAM ProMaster 3500 High Roof,39400,33064,Al Piemonte Buick GMC,4.3,"Elmhurst, IL (17 mi.)",1205
2020 Chrysler Pacifica Launch Edition,29859,64199,INFINITI of Clarendon Hills,4.9,"Clarendon Hills, IL (18 mi.)",2214
2021 Buick Envision Avenir,25990,47113,Ed Napleton Acura Kia,4.4,"Elmhurst, IL (18 mi.)",1393
2003 BMW 745 Li,6750,122000,Not found,0.0,"Darien, IL (21 mi.)",0
2012 Toyota Camry Hybrid XLE,12984,115754,Muller Honda,4.8,"Highland Park, IL (22 mi.)",1297
2013 Chrysler Town & Country Limited,12794,93631,Muller Honda,4.8,"Highland Park, IL (22 mi.)",1297
2008 Ford E250 Base,2990,208237,Luxury Automax,4.6,"Tinley Park, IL (23 mi.)",318
2006 Bentley Continental Flying Spur Flying Spur,23800,67267,Ace Motorworks,0.0,"Lisle, IL (24 mi.)",4
2021 Chevrolet Silverado 1500 RST,34195,69424,Napleton's Arlington Heights Chrysler Dodge Jeep RAM,4.4,"Arlington Heights, IL (26 mi.)",3364
2007 Rolls-Royce Phantom VI,99895,53652,Strada Motorsports,0.0,"Schaumburg, IL (26 mi.)",1
2008 Porsche Cayman Base,57900,1766,Gold Coast Motors,0.0,"Naperville, IL (30 mi.)",73
2023 Mercedes-Benz AMG GLS 63 Base 4MATIC,101299,31392,BMW of Orland Park,4.5,"Orland Park, IL",1575
2017 Ford F-250 XLT,34995,129573,High Quality Auto Group,0.0,"Chicago, IL (6 mi.)",0
2009 Acura TSX Technology,7819,157636,Kia of Lincolnwood,2.4,"Lincolnwood, IL (10 mi.)",124
2015 Cadillac CTS-V Base,24500,67190,Zeigler Cadillac of Lincolnwood,4.4,"Lincolnwood, IL (11 mi.)",660
2018 BMW X2 XDrive28i,22998,32985,CarMax Colorado Springs,0.0,Location not found,13
2014 Acura RLX Technology Package,19950,20824,Auto Park Imports,0.0,"Stone Park, IL (13 mi.)",37
2020 Ford Shelby GT500 Base,87875,11011,Golf Mill Ford,4.8,"Niles, IL (14 mi.)",3743
2022 Lexus GX 460 Premium,53998,25945,CarMax Rochester,0.0,Location not found,6
2019 Ferrari 488 GTB Base,269999,4995,Continental Ferrari,0.0,"Hinsdale, IL (16 mi.)",13
2011 Ford E250 Cargo,8995,103000,OKAZ MOTORS,0.0,"Elmhurst, IL (17 mi.)",157
2001 Chevrolet S-10 Base,2250,158965,Cars147.com,3.8,"Midlothian, IL (19 mi.)",56
2024 Mercedes-Benz GLS 450 4MATIC,83800,6324,Ultimo Motors East,4.2,"Westmont, IL (19 mi.)",147
2016 Porsche Cayman S,52800,44698,Ultimo Motors North Shore,3.2,"Northbrook, IL (19 mi.)",88
2022 Audi e-tron GT Premium Plus,52784,27231,Perillo Downers Grove,0.0,"Downers Grove, IL (20 mi.)",89
2003 Lexus LS 430 Base (A5),10995,114947,Multi Autos,0.0,"Lombard, IL (20 mi.)",3
2022 Buick Encore GX Select,21900,27193,94 Nissan Of South Holland,4.8,"South Holland, IL (20 mi.)",3104
2009 Honda Civic Hybrid Base,8850,84804,Auto House Motors,3.9,"Downers Grove, IL (21 mi.)",86
2017 Cadillac CTS 2.0L Turbo Luxury,18050,80487,Rizza Cadillac Buick GMC,4.5,"Tinley Park, IL (22 mi.)",3908
2018 Audi SQ5 3.0T Prestige,25999,68019,Auto's of Chicago,4.0,"Arlington Heights, IL (23 mi.)",83
2023 Chevrolet Malibu FWD RS,22998,4852,Dick Wickstrom Chevrolet,4.8,"Roselle, IL (24 mi.)",767
2023 Subaru Forester Premium,28998,19954,CarMax Tinley Park,0.0,"Tinley Park, IL (25 mi.)",16
2024 Lexus TX 500h F SPORT,75995,2701,Woodfield Lexus,4.9,"Schaumburg, IL (26 mi.)",2321
2023 Honda Civic Type R Touring,45990,17388,Gerald Honda of Matteson,4.9,"Matteson, IL (27 mi.)",2276
2024 Audi e-tron GT Prestige,127540,0,Audi Hoffman Estates,4.7,"Hoffman Estates, IL",5504
